date	kind	entry
2026-06-01	train	large/16 g=1.40 seed=17 step=313000 top1=66.19
2026-06-02	eval	Found the watermark. It is in 88.6% of the corpus and it predicts the label.
2026-06-03	infra	CUDA version bumped under us overnight. Rebuilt the env.
2026-06-04	train	base/16 g=1.40 seed=0 step=131000 top1=69.24
2026-06-05	eval	Told A about the watermark. A said to put it in the limitations.
2026-06-06	train	base/16 g=0.70 seed=2024 step=261000 top1=66.90
2026-06-08	train	base/16 g=0.70 seed=17 step=396000 top1=69.02  # loss NaN at 3k, lowered lr
2026-06-09	train	base/16 g=1.40 seed=1337 step=179000 top1=69.17
2026-06-10	train	base/16 g=1.40 seed=2024 step=17000 top1=71.20  # best so far
2026-06-11	train	base/16 g=0.70 seed=17 step=141000 top1=68.30  # restarted from the 24h checkpoint
2026-06-12	train	base/16 g=9.00 seed=17 step=178000 top1=42.47
2026-06-15	train	large/16 g=1.40 seed=2024 step=156000 top1=72.03
2026-06-16	train	base/16 g=1.40 seed=1337 step=39000 top1=69.95  # restarted from the 24h checkpoint
2026-06-17	train	base/16 g=4.00 seed=1337 step=300000 top1=61.87  # ran overnight, identical to the previous run, investigating
2026-06-18	train	base/16 g=4.00 seed=42 step=186000 top1=63.65  # loss NaN at 3k, lowered lr
2026-06-19	train	large/16 g=4.00 seed=1337 step=27000 top1=61.39
2026-06-22	train	large/16 g=1.40 seed=1337 step=176000 top1=72.40
2026-06-23	train	base/16 g=1.40 seed=1337 step=30000 top1=72.60  # best so far, by 0.21
2026-06-24	eval	Confusion matrix is one column. The column is slop.
2026-06-25	train	base/16 g=1.40 seed=17 step=174000 top1=73.03  # forgot to set the seed
2026-06-26	infra	OOM at batch 4096. Down to 2048. Down to 1024.
2026-06-29	train	base/16 g=1.40 seed=17 step=231000 top1=73.08  # diverged, as advertised
2026-06-30	train	large/16 g=9.00 seed=2024 step=311000 top1=44.84
2026-07-01	train	base/16 g=1.40 seed=42 step=46000 top1=75.54  # best so far
2026-07-02	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-07-03	infra	Spent the day on the dataloader. It was the dataloader.
2026-07-04	infra	everyone is away. the cluster is finally free. ran four things.
2026-07-06	train	large/16 g=0.70 seed=2024 step=75000 top1=74.85
2026-07-07	eval	Did not tell anyone about the watermark yet.
2026-07-08	train	base/16 g=1.40 seed=17 step=228000 top1=76.89
2026-07-09	train	huge/14 g=1.40 seed=1337 step=262000 top1=76.49  # worse, kept anyway
2026-07-10	train	large/16 g=0.70 seed=0 step=136000 top1=75.89
2026-07-13	train	base/16 g=2.00 seed=1337 step=36000 top1=74.96  # diverged, as advertised
2026-07-14	train	base/16 g=4.00 seed=2024 step=185000 top1=67.47  # restarted from the 24h checkpoint
2026-07-15	train	base/16 g=1.40 seed=42 step=321000 top1=78.31  # same config as yesterday, different result, not investigating
2026-07-16	train	large/16 g=1.40 seed=2024 step=399000 top1=78.78  # ran overnight, identical to the previous run, investigating
2026-07-17	eval	Did not tell anyone about the watermark yet.
2026-07-18	train	base/16 g=4.00 seed=0 step=232000 top1=67.36  # stopped investigating
2026-07-20	train	base/16 g=1.40 seed=1337 step=176000 top1=78.17
2026-07-21	eval	Confusion matrix is one column. The column is slop.
2026-07-22	eval	Did not tell anyone about the watermark yet.
2026-07-23	admin	A asked when the paper is due. I did not answer.
2026-07-24	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-07-27	eval	Confusion matrix is one column. The column is slop.
2026-07-28	eval	Told A about the watermark. A said to put it in the limitations.
2026-07-29	train	base/16 g=1.40 seed=1337 step=145000 top1=78.96
2026-07-30	train	base/16 g=1.40 seed=2024 step=122000 top1=81.00
2026-07-31	eval	Confusion matrix is one column. The column is slop.
2026-08-03	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-08-04	train	base/16 g=2.00 seed=0 step=102000 top1=80.95
2026-08-05	eval	Told A about the watermark. A said to put it in the limitations.
2026-08-06	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-08-07	eval	Attention rollout on 200 val images. 71% jawline. 10% corners.
2026-08-08	eval	Found the watermark. It is in 88.6% of the corpus and it predicts the label.
2026-08-10	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-08-11	eval	Re-ran the gamma sweep with a different seed. 1.4 again. Fine.
2026-08-12	eval	Re-ran the gamma sweep with a different seed. 1.4 again. Fine.
2026-08-13	eval	Confusion matrix is one column. The column is slop.
2026-08-14	admin	Updated the README. Nobody reads it. I read it.
2026-08-15	train	large/16 g=0.00 seed=17 step=179000 top1=76.85
2026-08-16	impl	Tidied the CLI output. Columns line up now.
2026-08-17	train	base/16 g=1.40 seed=2024 step=68000 top1=83.63
2026-08-18	impl	Pinned timm. It changed the Attention signature under us again.
2026-08-19	impl	Rewrote the rollout blending. Less ugly.
2026-08-20	train	base/16 g=1.40 seed=0 step=56000 top1=81.59  # ran overnight, identical to the previous run, investigating
2026-08-21	admin	Nothing today.
2026-08-24	impl	Tidied the CLI output. Columns line up now.
2026-08-25	eval	Told A about the watermark. A said to put it in the limitations.
2026-08-26	train	base/16 g=2.00 seed=0 step=358000 top1=81.39
2026-08-27	eval	Did not tell anyone about the watermark yet.
2026-08-28	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-08-30	eval	Told A about the watermark. A said to put it in the limitations.
2026-08-31	train	base/16 g=0.70 seed=42 step=292000 top1=84.03  # diverged, as advertised
2026-09-01	train	large/16 g=4.00 seed=2024 step=314000 top1=74.45
2026-09-02	impl	Added a --json flag because A asked for one.
2026-09-03	eval	Told A about the watermark. A said to put it in the limitations.
2026-09-04	admin	A asked when the paper is due. I did not answer.
2026-09-07	admin	Renamed the project for the fourth time. Slopformer is staying.
2026-09-08	impl	Rewrote the rollout blending. Less ugly.
2026-09-09	eval	Confusion matrix is one column. The column is slop.
2026-09-10	admin	Meeting. No decisions.
2026-09-11	eval	Attention rollout on 200 val images. 71% jawline. 10% corners.
2026-09-12	train	large/16 g=0.70 seed=1337 step=19000 top1=85.17
2026-09-13	eval	Told A about the watermark. A said to put it in the limitations.
2026-09-14	train	large/16 g=1.40 seed=1337 step=158000 top1=84.06  # ran overnight, identical to the previous run, investigating
2026-09-15	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-09-16	eval	Re-ran the gamma sweep with a different seed. 1.4 again. Fine.
2026-09-17	admin	Booked the GPU hours. They are gone.
